Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Skype,Широта,Долгота,2GIS URL,Тип,Twitter,Telegram 1,Telegram 2,Telegram 3,Тип;;;;;;;;;;;;;;;;;;;,E-mail,Тип;;;;;;;;;;;;;;;;;;,Viber 1,Viber 2,Тип;;;;;;;;;;;;;;;;;,Тип;;;;;;;;;;;;;;;;;;;;;;;
777,магазин,Автоаксессуары; Автосигнализации,"проспект Турара Рыскулова, 103/21Б",1 этаж,50061.0,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,1.1,1.0,87775780003,,,,,,,,,,,,https://wa.me/77775780003,,,,,,,43.262388,76.855043,https://2gis.com/firm/70000001050082027,branch,,,,,,,,,,,
Adal market,продуктовый магазин,Продуктовые магазины,"улица Барыс, 23",,40707.0,Бурундай м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,,,87473581808,,,,,,,,,,,,,,,,,,,43.352717,76.846325,https://2gis.com/firm/70000001093468142,branch,,,,,,,,,,,
Adal market,продуктовый магазин,Продуктовые магазины,"микрорайон Зердели, 1/179",1 этаж,50038.0,Зерделі м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,3.9,16.0,87758170504,87072852020,,,,,,,,,,,https://wa.me/77072852020,https://wa.me/77758170504,,,,,,43.281266,76.819246,https://2gis.com/firm/70000001075909759,branch,,,,,,,,,,,
Ai market,магазин,Супермаркеты,"микрорайон Дарабоз, 61",,50000.0,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 07:00-03:00; Вт: 07:00-03:00; Ср: 07:00-03:00; Чт: 07:00-03:00; Пт: 07:00-03:00; Сб: 07:00-03:00; Вс: 07:00-03:00,+05:00,3.0,2.0,87052851896,87059636193,,,,,,,,,,,https://wa.me/77059636193,,,,,,,43.268264,76.819482,https://2gis.com/firm/70000001089110103,branch,,,,,,,,,,,
Aibar mini-market ,мини-маркет,Супермаркеты; Доставка продуктов,"улица Жанкожа батыра, 204",1 этаж,50065.0,Шанырак-2 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,5.0,2.0,87787748102,,,,,,,,,,,,https://wa.me/77073231094,,,,,,,43.299127,76.851651,https://2gis.com/firm/70000001090724293,branch,,,,,,,,,,,
Aibike Home Textile,магазин,Домашний текстиль; Нижнее бельё; Хозтовары; Швейные ателье,"микрорайон Дарабоз, 43",,50000.0,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,5.0,3.0,87478541103,87754783905 (ателье),,,,,,,,https://instagram.com/aibike_home_textile,,,https://wa.me/77478541103,,,,,,,43.267768,76.821038,https://2gis.com/firm/70000001067902734,branch,,,,,,,,,,,
Aibulan,продуктовый магазин,Продуктовые магазины,"улица Айналмалы, 8Б",,50071.0,Теректи м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,1.0,87088414196,,,,,,,,,,,,https://wa.me/77088414196,,,,,,,43.241274,76.793518,https://2gis.com/firm/70000001045438708,branch,,,,,,,,,,,
Aiklar,мини-маркет,Супермаркеты,"микрорайон Аккент, 58а",,50038.0,Аккент м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,3.2,47.0,87073361274,,,,,,,,,,,,https://wa.me/77073361274,,,,,,,43.240997,76.812343,https://2gis.com/firm/70000001044693289,branch,,,,,,,,,,,
Ailin,продуктовый магазин,Продуктовые магазины,"улица Койтас, 19/1",,50024.0,Карасу м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,4.4,4.0,,,,,,,,,,,,,,,,,,,,43.338047,76.897631,https://2gis.com/firm/70000001041410408,branch,,,,,,,,,,,
Ailuna,продуктовый магазин,Продуктовые магазины,"микрорайон Аккент, 7",1 этаж,50038.0,Аккент м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-03:00; Вт: 09:00-03:00; Ср: 09:00-03:00; Чт: 09:00-03:00; Пт: 09:00-03:00; Сб: 09:00-03:00; Вс: 09:00-03:00,+05:00,2.0,11.0,87013941572,,,,,,,,,,,,https://wa.me/77013941572,,,,,,,43.242118,76.813242,https://2gis.com/firm/70000001033477176,branch,,,,,,,,,,,
Ais market,мини-маркет,Супермаркеты,"улица Ырысты, 46/6",,50061.0,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.2,21.0,87759217201,,,,,,,,,,,,,,,,,,,43.26622,76.855764,https://2gis.com/firm/70000001068912261,branch,,,,,,,,,,,
Aisha,магазин женской одежы и нижнего белья,Женская одежда; Нижнее бельё,"микрорайон Аккент, 17",1 этаж,50038.0,Аккент м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:30-22:00; Вт: 09:30-22:00; Ср: 09:30-22:00; Чт: 09:30-22:00; Пт: 09:30-22:00; Сб: 09:30-22:00; Вс: 09:30-22:00,+05:00,1.5,8.0,87018761776,87770135444,,,,,,,,https://instagram.com/aishafashion_kz,,,https://wa.me/77018761776,https://wa.me/77770135444,,,,,,43.242933,76.815805,https://2gis.com/firm/70000001057470191,branch,,,,,,,,,,,
Aisha,магазин канцелярских товаров ,Канцтовары; Копировальные услуги; Фото на документы; Уголки самообслуживания EGOV; Товары для праздников,"микрорайон Аккент, 17",1 этаж,50038.0,Аккент м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:30-22:00; Вт: 09:30-22:00; Ср: 09:30-22:00; Чт: 09:30-22:00; Пт: 09:30-22:00; Сб: 09:30-22:00; Вс: 09:30-22:00,+05:00,3.3,8.0,87018761776,87770135444,,,,,,,,https://instagram.com/aishafashion_kz,,,https://wa.me/77018761776,https://wa.me/77770135444,,,,,,43.242933,76.815805,https://2gis.com/firm/70000001057498971,branch,,,,,,,,,,,
Aisultan,мини-маркет,Супермаркеты,"улица Жалайыр, 115",,50058.0,Улжан-1 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,4.1,4.0,87073460365,,,,,,,,,,,,https://wa.me/77073460365,,,,,,,43.289552,76.86953,https://2gis.com/firm/70000001046084394,branch,,,,,,,,,,,
Akhniet,мини-маркет,Супермаркеты,"улица Мадениет, 59/1",,,Мадениет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,,,,,,,,,,,,,,,,,,,,,,43.349177,76.82539,https://2gis.com/firm/70000001082590949,branch,,,,,,,,,,,
Al market,продуктовый магазин,Продуктовые магазины,"улица Байтерекова, 43/2",,50038.0,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.3,14.0,87762300808,,,,,,,,,,,,https://wa.me/77762300808,,,,,,,43.263691,76.81997,https://2gis.com/firm/70000001087660825,branch,,,,,,,,,,,
Al-mart,продуктовый магазин,Продуктовые магазины,"микрорайон Дарабоз, 85",,50000.0,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:30-01:00; Вт: 08:30-01:00; Ср: 08:30-01:00; Чт: 08:30-01:00; Пт: 08:30-01:00; Сб: 08:30-01:00; Вс: 08:30-01:00,+05:00,4.4,8.0,,,,,,,,,,,,,,,,,,,,43.269605,76.821396,https://2gis.com/firm/70000001080788945,branch,,,,,,,,,,,
Alash electronics,магазин,Электронные компоненты; Радиоуправляемые модели; Курсы робототехники; Изготовление макетов / Прототипирование; Оборудование для образовательных учреждений,"улица Емцова, 9в",,50061.0,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,27.0,87479001790,,,,,,http://alash-electronics.kz,,,https://instagram.com/alash_engineer,,,https://wa.me/77479001790,,,,,,,43.258357,76.864268,https://2gis.com/firm/70000001086917700,branch,,,,,,,,,,,
Alatau,мини-маркет,Супермаркеты,"проспект Райымбека, 481/1",1 этаж,50061.0,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:30-23:30; Вт: 08:30-23:30; Ср: 08:30-23:30; Чт: 08:30-23:30; Пт: 08:30-23:30; Сб: 09:00-23:30; Вс: 09:00-23:30,+05:00,1.8,19.0,87025878171,87058143000,,,,,,,,,,,https://wa.me/77025878171,https://wa.me/77058143000,,,,,,43.248138,76.839793,https://2gis.com/firm/70000001036001384,branch,,,,,,,,,,,
Aldiar,продовольственный магазин,Продуктовые магазины,"шоссе Северное Кольцо, 92/3 к6",цокольный этаж,50024.0,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-01:00; Вт: 08:00-01:00; Ср: 08:00-01:00; Чт: 08:00-01:00; Пт: 08:00-01:00; Сб: 08:00-01:00; Вс: 08:00-01:00,+05:00,2.4,13.0,87769838537,,,,,,,,,,,,https://wa.me/77769838537,,,,,,,43.313556,76.89623,https://2gis.com/firm/70000001067068274,branch,,,,,,,,,,,
Alem,магазин,Игрушки; Косметика / Парфюмерия; Товары для праздников,"микрорайон Аккент, 90",,50038.0,Аккент м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 09:30-22:30,+05:00,5.0,1.0,87713164600,87476780165,,,,,,,,https://instagram.com/mix_sauda_kz,,,,,,,,,,43.242461,76.809272,https://2gis.com/firm/70000001091194083,branch,,,,,,,,,,,
Alem,магазин,Аксессуары к телефонам; Бытовая химия; Посуда; Копировальные услуги; Канцтовары,"микрорайон Аккент, 90",,50038.0,Аккент м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 09:30-22:30,+05:00,1.5,2.0,87777916122,,,,,,,,,https://instagram.com/mix_sauda_kz,,,https://wa.me/77777916122,,,,,,,43.242461,76.809272,https://2gis.com/firm/70000001090531977,branch,,,,,,,,,,,
Alem,мини-маркет,Супермаркеты,"улица Жалайыр, 195",1 этаж,50058.0,Улжан-1 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,1.9,4.0,87023372728,87475862524,,,,,,,,,,,https://wa.me/77475862524,,,,,,,43.301284,76.871493,https://2gis.com/firm/70000001047301402,branch,,,,,,,,,,,
Alimavto,магазин,Автоаксессуары; Грузоподъёмное оборудование для строительства,"шоссе Северное Кольцо, 116",0 контейнер; 11 ряд,50024.0,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,4.0,87073292303,,,,,,,,,https://instagram.com/enock.kz,,,https://wa.me/77073292303,,,,,,,43.321819,76.904635,https://2gis.com/firm/70000001069896040,branch,,,,,,,,,,,
Almaly,магазин,Продуктовые магазины,"микрорайон Саялы, 42",,50047.0,Саялы м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,,,87759220278,,,,,,,,,,,,https://wa.me/77759220278,,,,,,,43.306723,76.840334,https://2gis.com/firm/70000001084094557,branch,,,,,,,,,,,
Almatherm,магазин сантехники,Сантехника; Котельное оборудование; Насосное оборудование; Электронагревательное оборудование; Товары для отопления / водоснабжения / канализации,"проспект Турара Рыскулова, 276а",1 этаж,50061.0,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:30-18:00; Вт: 08:30-18:00; Ср: 08:30-18:00; Чт: 08:30-18:00; Пт: 08:30-18:00; Сб: 08:30-17:00; Вс: 10:00-17:00,+05:00,4.4,42.0,87010650024,87010650017,87010650021.0,almaty@almatherm.kz,,,http://www.almatherm.kz,,,https://instagram.com/almatherm_kz,https://facebook.com/almathermmag,,https://wa.me/77018166691,,,,,,beka.0305,43.252738,76.839537,https://2gis.com/firm/70000001024151049,branch,,,,,,,,,,,
Almaty Arzan Mariam,магазин,Женская одежда; Сумки / Кожгалантерея; Обувные магазины,"шоссе Северное Кольцо, 34",9-12 бутик; 10 ряд,50024.0,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,1.0,3.0,87073988212,87051138848,,,,,,,,https://instagram.com/almaty_arzan_mariam,,,https://wa.me/77013353646,,,,,,,43.317237,76.90223,https://2gis.com/firm/70000001043489199,branch,,,,,,,,,,,
Almaty_arzan,магазин,Женская одежда; Обувные магазины,"шоссе Северное Кольцо, 34",1-5 бутик; 10 ряд,50024.0,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,4.5,2.0,87783331553,,,,,,,,,https://instagram.com/almaty_arzan,,,https://wa.me/77783331553,,,,,,,43.317161,76.90219,https://2gis.com/firm/70000001043587976,branch,,,,,,,,,,,
Almatym Market,магазин,Продуктовые магазины,"проспект Райымбека, 351/1 блок 12",,50061.0,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,,,87089421028,,,,,,,,,,,,https://wa.me/77776669981,,,,,,,43.259337,76.866567,https://2gis.com/firm/70000001094081939,branch,,,,,,,,,,,
Altinbasak Tekstil,магазин,Домашний текстиль,"шоссе Северное Кольцо, 76/3",25 бутик,50024.0,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00; Сб: 09:00-17:00; Вс: 09:00-17:00,+05:00,5.0,1.0,,,,,,,,,,,,,https://wa.me/77012703006,,,,,,,43.306247,76.89601,https://2gis.com/firm/70000001080509508,branch,,,,,,,,,,,
Altinbasak Tekstil,магазин,Домашний текстиль,"шоссе Северное Кольцо, 92/7",,50024.0,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00; Сб: 09:00-17:00; Вс: 09:00-17:00,+05:00,,,87024819171,87012703006,,,,,,,,,,,https://wa.me/77024819171,,,,,,,43.316116,76.901643,https://2gis.com/firm/70000001044387300,branch,,,,,,,,,,,
Altyn,продуктовый магазин,Продуктовые магазины,"микрорайон Дарабоз, 67",,50000.0,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-03:00; Вт: 08:00-03:00; Ср: 08:00-03:00; Чт: 08:00-03:00; Пт: 08:00-03:00; Сб: 08:00-03:00; Вс: 08:00-03:00,+05:00,1.1,1.0,87074862488,,,,,,,,,,,,https://wa.me/77074862488,,,,,,,43.268564,76.819106,https://2gis.com/firm/70000001055941609,branch,,,,,,,,,,,
Altyn.dam,магазин,Мясо птицы / Полуфабрикаты; Мясо / Полуфабрикаты,"микрорайон Дарабоз, 35",,50000.0,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,1.6,7.0,87057298675,,,,,,,,,https://instagram.com/polufabrikaty_almaty__,,,https://wa.me/77057298675,,,,,,,43.267245,76.820396,https://2gis.com/firm/70000001066130895,branch,,,,,,,,,,,
Anel,магазин,Продуктовые магазины,"улица Сусанина, 15",,50061.0,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,4.5,9.0,87027816404,87719595995,,,,,,,,,,,https://wa.me/77027816404,,,,,,,43.268441,76.885335,https://2gis.com/firm/70000001043499755,branch,,,,,,,,,,,
Aq Jol,продуктовый магазин,Продуктовые магазины,"микрорайон Нуркент, 72",,50038.0,Нуркент м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-02:00; Пт: 09:00-02:00; Сб: 09:00-02:00; Вс: 09:00-02:00,+05:00,4.9,3.0,87475579049,,,,,,,,,,,,https://wa.me/77475579049,,,,,,,43.255162,76.81863,https://2gis.com/firm/70000001043713779,branch,,,,,,,,,,,
Aq Jol Mart,магазин,Продуктовые магазины,"проспект Турара Рыскулова, 103д",Sinooil,50058.0,Шапагат м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.1,3.0,,,,,,,,,,,,,,,,,,,,43.270271,76.879048,https://2gis.com/firm/70000001059681963,branch,,,,,,,,,,,
Aq-tilek,мини-маркет,Продуктовые магазины,"улица Центральная, 1/2",,50047.0,Томирис м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 07:00-02:00; Вт: 07:00-02:00; Ср: 07:00-02:00; Чт: 07:00-02:00; Пт: 07:00-02:00; Сб: 07:00-02:00; Вс: 07:00-02:00,+05:00,3.0,3.0,87056101112,,,,,,,,,,,,https://wa.me/77056101112,,,,,,,43.324107,76.848837,https://2gis.com/firm/70000001061590011,branch,,,,,,,,,,,
Aqkent,продовольственный магазин,Продуктовые магазины,"микрорайон Аккент, 40",1 этаж,50038.0,Аккент м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 07:30-01:30; Вт: 07:30-01:30; Ср: 07:30-01:30; Чт: 07:30-01:30; Пт: 07:30-01:30; Сб: 07:30-01:30; Вс: 07:30-01:30,+05:00,2.6,14.0,,,,,,,,,,,,,,,,,,,,43.242878,76.813698,https://2gis.com/firm/70000001024854854,branch,,,,,,,,,,,
Ar & Tem,продуктовый магазин,Продуктовые магазины,"микрорайон Аккент, 21",1 этаж,50038.0,Аккент м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,1.0,4.0,87772003357,,,,,,,,,,,,https://wa.me/77772003357,,,,,,,43.245936,76.817633,https://2gis.com/firm/70000001041863096,branch,,,,,,,,,,,
