Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Skype,Широта,Долгота,2GIS URL,Тип
Absolut Pelle,магазин,Женская одежда; Меха / Кожа; Верхняя одежда,"проспект Абая, 89",цокольный этаж,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,87028713030,,,,,,,https://instagram.com/absolut_pelle,,,https://wa.me/77028713030,,,,,,,,43.2412,76.924537,https://2gis.com/firm/9429940000785026,branch
Action_cam_almaty,магазин,Аудиотехника / Видеотехника; Часы / Аксессуары,"улица Егизбаева, 54Б",14 офис; 1 этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 12:10-19:00; Вт: 12:10-19:00; Ср: 12:10-19:00; Чт: 12:10-19:00; Пт: 12:10-19:00; Сб: 13:10-18:00; Вс: 13:30-18:00 (по предварительному звонку),+05:00,5.0,67,87774886663,,,,http://actioncam.kz,,,https://instagram.com/action_cam_almaty,,,https://wa.me/77774886663,,,,https://t.me/+77774886663,,,,43.230149,76.887401,https://2gis.com/firm/70000001042070390,branch
Adelina,магазин,Ювелирные изделия,"проспект Сейфуллина, 617",2 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,1.0,1,87781113384,,,,,,,https://instagram.com/adelina.forum.kz,,,https://wa.me/77781113384,,,,,,,,43.234646,76.935844,https://2gis.com/firm/70000001082834117,branch
Ademi soul,магазин,Товары для праздников; Бижутерия; Национальные товары; Украшения для пирсинга; Ювелирные изделия,"улица Ауэзова, 99",,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00,+05:00,4.1,6,87023322220,,,,,,,https://instagram.com/ademi_soul,,,https://wa.me/77023322220,,,,,,,,43.241443,76.903283,https://2gis.com/firm/70000001066897595,branch
Adiler,продуктовый магазин,Продуктовые магазины; Разливное пиво,"улица Си Синхая, 16",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,2.5,19,,,,,,,,,,,,,,,,,,,43.215269,76.901141,https://2gis.com/firm/9429940001174468,branch
Adili,магазин,Сумки / Кожгалантерея; Головные / шейные уборы; Сувениры; Национальные товары; Женская одежда,"проспект Сейфуллина, 617",2 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.0,24,87755707587,87788007880,,,http://www.shopadili.com,,,https://instagram.com/adili.kz,,,https://wa.me/77788007880,,,,,,,,43.234183,76.936088,https://2gis.com/firm/70000001066248783,branch
Adili,магазин,Домашний текстиль; Женская одежда,"улица Розыбакиева, 247а",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,3.5,20,87089719778 (единый номер: пн-пт),87788007880,,,http://www.shopadili.com,,,https://instagram.com/adili.kz,,,https://wa.me/77089719778,,,,,,,,43.202982,76.892445,https://2gis.com/firm/70000001038072228,branch
Aesthetic_jwl,магазин,Бижутерия; Ювелирные изделия,"улица Жолдасбекова, 9а",1 этаж,050051,Самал-1 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,87019484090,,,,,,,https://instagram.com/aesthetic_jwl_,,,https://wa.me/77019484090,,,,,,,,43.234604,76.955702,https://2gis.com/firm/70000001063285765,branch
Ai-Sultan,продуктовый магазин,Продуктовые магазины,"улица Абиша Кекилбайулы, 129",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,5.0,4,87079478928,,,,,,,,,,https://wa.me/77079478928,,,,,,,,43.210072,76.887571,https://2gis.com/firm/70000001094419737,branch
Aibota,мини-маркет,Продуктовые магазины; Хозтовары,"улица Сулейменова, 26а",,050042,Таугуль-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,13,87074153211,,,,,,,,,,https://wa.me/77074153211,,,,,,,,43.210866,76.878347,https://2gis.com/firm/70000001070103474,branch
AidiHome,магазин,Женская одежда; Игрушки; Домашний текстиль; Детская одежда; Носки / Колготки,"Е. Брусиловского улица, 167 блок 2",25 офис; цокольный этаж,050005,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00,+05:00,,,87013126936,,,,,,,https://instagram.com/aidihome,,,https://wa.me/77013126936,,,,,,,,43.240901,76.877652,https://2gis.com/firm/70000001093577248,branch
Aikon,магазин,Запчасти к телефонам; Ремонт телефонов; Аксессуары к телефонам,"улица Тимирязева, 42 к3",28 бутик; 1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,,,87012585823,87757022267,,,,,,https://instagram.com/aikon_kaz,,,https://wa.me/77012585823,https://wa.me/77757022267,,,,,,,43.224818,76.908148,https://2gis.com/firm/70000001054093324,branch
Airba Fresh Market,супермаркет,Супермаркеты; Доставка продуктов,"улица Тимирязева, 42 пав9а",,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,3.6,374,87772484848,,,marketing@airbafresh.kz,http://www.airbafresh.kz,,,https://instagram.com/airbafresh,https://facebook.com/airbafresh,,https://wa.me/77772484848,,,,https://t.me/airbafresh,,https://youtube.com/@Airba_Fresh,,43.221455,76.904581,https://2gis.com/firm/70000001060606663,branch
AirDrop Trade,магазин,Мобильные телефоны; Аудиотехника / Видеотехника; Бытовая техника,"улица Курмангазы, 97",1 этаж,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.5,7,87088620906,,,,,,,https://instagram.com/airdrop_trade,,,https://wa.me/77088620906,,,,,,,,43.244099,76.931407,https://2gis.com/firm/70000001087818475,branch
Aisara,мини-маркет,Супермаркеты,"улица Декарта, 34",,050043,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:30-24:00; Вт: 08:30-24:00; Ср: 08:30-24:00; Чт: 08:30-24:00; Пт: 08:30-24:00; Сб: 08:30-24:00; Вс: 08:30-24:00,+05:00,4.2,17,87756287770,,,,,,,,,,https://wa.me/77756287770,,,,,,,,43.203693,76.878885,https://2gis.com/firm/70000001041045897,branch
Aizhan key,магазин,Косметика / Парфюмерия,"улица Ауэзова, 82",611 офис; 6 этаж,050008,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.5,8,87775185534,,,,,,,https://instagram.com/aizhan_key_shop,,,https://wa.me/77775185534,,,,,,,,43.238525,76.904546,https://2gis.com/firm/70000001032963714,branch
Aladdin,продуктовый магазин,Продуктовые магазины,"улица Егизбаева, 7/10",1 этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-01:00; Вт: 08:00-01:00; Ср: 08:00-01:00; Чт: 08:00-01:00; Пт: 08:00-01:00; Сб: 08:00-01:00; Вс: 08:00-01:00,+05:00,4.0,13,87056113339,,,,,,,,,,https://wa.me/77056113339,,,,,,,,43.230793,76.885813,https://2gis.com/firm/70000001052616713,branch
Alan Market,мини-маркет,Супермаркеты; Разливное пиво,"улица Жарокова, 137/1 блок Г1",,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-01:00; Вт: 09:00-01:00; Ср: 09:00-01:00; Чт: 09:00-01:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 09:00-01:00,+05:00,4.1,7,87477093641,87272486311,,,,,,,,,https://wa.me/77477093641,,,,,,,,43.235778,76.898993,https://2gis.com/firm/70000001088053180,branch
Alcomarket ProПиво,магазин,Разливное пиво; Алкогольные напитки; Снеки; Безалкогольные напитки; Табачные изделия / Товары для курения,"улица Аскарова, 3а",1 этаж,,Рахат (Наурызбайский район) м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-01:00,+05:00,4.8,24,87762792792,,,,,,,,,,https://wa.me/77762792792,,,,,,,,43.195342,76.863882,https://2gis.com/firm/70000001061369423,branch
Alcomarket.kz,магазин №17,Безалкогольные напитки; Алкогольные напитки,"улица Розыбакиева, 275а",цокольный этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,3.2,16,87273022472,,,,,,,https://instagram.com/alcomarket.kz,,,,,,,,,,,43.198501,76.893993,https://2gis.com/firm/70000001025115988,branch
Ali-Sa,продуктовый магазин,Продуктовые магазины,"микрорайон Казахфильм, 35",1 этаж,050023,Казахфильм м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,2.0,16,87479016760,,,,,,,,,,https://wa.me/77479016760,,,,,,,,43.199886,76.907635,https://2gis.com/firm/9429940001208218,branch
Allforu ,магазин,Профессиональная косметика,"улица Жандосова, 24",10 офис; 2 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-16:00; Вт: 09:00-16:00; Ср: 09:00-16:00; Чт: 09:00-16:00; Пт: 09:00-16:00 (по предварительному звонку: сб),+05:00,,,87718560612,87025305541,,,http://allforu.kz,,,,,,https://wa.me/77718560612,https://wa.me/77025305541,,,,,,,43.23434,76.906737,https://2gis.com/firm/70000001089910618,branch
Allphone.kz,магазин,Мобильные телефоны,"улица Тимирязева, 42 к3",1 этаж; островок №156,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,,,87071466634,,,,,,,https://instagram.com/allphone.kz,,,https://wa.me/77071466634,,,,,,,,43.224887,76.908648,https://2gis.com/firm/70000001046381488,branch
Állure jewelry,магазин,Ювелирные изделия,"улица Желтоксан, 160",1 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,1.8,9,87070216560,,,,,,,https://instagram.com/allure_jwlr,,,https://wa.me/77070216560,,,,,,,,43.245227,76.941103,https://2gis.com/firm/70000001069090233,branch
Almaty,продуктовый магазин,Продуктовые магазины; Бытовая химия; Доставка продуктов,"улица Розыбакиева, 289 блок 2",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-02:00; Вт: 07:00-02:00; Ср: 07:00-02:00; Чт: 07:00-02:00; Пт: 07:00-02:00; Сб: 07:00-02:00; Вс: 07:00-02:00,+05:00,2.6,41,87772006765,,,,,,,,,,,,,,,,,,43.195392,76.892967,https://2gis.com/firm/70000001030563944,branch
Almaty Food,продуктовый магазин,Продуктовые магазины; Разливное пиво,"улица Каныша Сатпаева, 109",,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.1,16,87758518107,87780087531,,,,,,,,,,,,,,,,,43.234244,76.881811,https://2gis.com/firm/70000001086736569,branch
Almaty heels ,магазин,Одежда / обувь для танцев,"Коктем-3 микрорайон, 17",24 бутик; цокольный этаж,050040,Коктем-3 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 11:00-18:30; Вт: 11:00-18:30; Ср: 11:00-18:30; Чт: 11:00-18:30; Пт: 11:00-18:30; Сб: 11:00-18:30; Вс: 11:00-18:30 (по предварительной записи),+05:00,4.6,10,87074514519,87477588809,,,,,,https://instagram.com/almaty.heels,,,https://wa.me/77074514519,https://wa.me/77477588809,,,,,,,43.236216,76.917086,https://2gis.com/firm/70000001089209328,branch
Almaty.shlem,магазин,Мототехника; Спортивный инвентарь; Спортивная одежда / обувь,"улица Жандосова, 58",308 кабинет; 3 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:30; Вт: 10:00-20:30; Ср: 10:00-20:30; Чт: 10:00-20:30; Пт: 10:00-20:30; Сб: 10:00-20:30; Вс: 10:00-20:30,+05:00,5.0,144,,,,,,,,https://instagram.com/almaty.shlem,,,https://wa.me/77473750682,,,,https://t.me/arslannessipbekov,,,,43.23032,76.896899,https://2gis.com/firm/70000001065025367,branch
Altyn El ,супермаркет,Супермаркеты,"проспект Дулати, 55",,,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,2.1,23,87000881171,,,,,,,,,,https://wa.me/77000881171,,,,,,,,43.165412,76.891655,https://2gis.com/firm/70000001065508994,branch
Alu market,магазин,Продуктовые магазины,"проспект Аль-Фараби, 65",1 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,2.7,44,,,,,,,,,,,,,,,,,,,43.221203,76.932462,https://2gis.com/firm/9429940000797304,branch
Amanat market,мини-маркет,Супермаркеты,"улица Абиша Кекилбайулы, 97а",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 09:00-24:00,+05:00,3.7,28,87774565201,,,,,,,,,,https://wa.me/77774565201,,,,,,,,43.214007,76.886504,https://2gis.com/firm/70000001035169152,branch
Amazon Store,магазин,Бытовая техника,"улица Жамбыла, 114/85",112 офис; А блок; 1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:30; Вт: 10:00-19:30; Ср: 10:00-19:30; Чт: 10:00-19:30; Пт: 10:00-19:30; Сб: 10:00-19:30; Вс: 10:00-19:30,+05:00,3.3,26,87066508202,,,,,,,,,,https://wa.me/77066508202,,,,,,,,43.246417,76.926087,https://2gis.com/firm/70000001079991415,branch
Amir Market,магазин,Продуктовые магазины,"улица Розыбакиева, 336 блок 4",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,4.4,8,87066666023,,,,,,,,,,https://wa.me/77066666023,,,,,,,,43.207362,76.894705,https://2gis.com/firm/70000001079584345,branch
Amir_baby_toys,магазин,Детская одежда; Игрушки,,,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.2,3,87077470909,87477131288,,,,,,https://instagram.com/amir_baby_toys,,,https://wa.me/77077470909,https://wa.me/77477131288,,,,,,,43.239519,76.898807,https://2gis.com/firm/70000001079694616,branch
Amway,магазин,Бытовая химия,"улица Каныша Сатпаева, 31",94 офис; 3 этаж,050008,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-13:00, 14:00-18:00; Вт: 08:00-13:00, 14:00-18:00; Ср: 08:00-13:00, 14:00-18:00; Чт: 08:00-13:00, 14:00-18:00; Пт: 08:00-13:00, 14:00-18:00; Сб: 08:00-13:00, 14:00-18:00; Вс: 08:00-13:00, 14:00-18:00",+05:00,1.0,2,87000705277,,,,,,,,,,https://wa.me/77000705277,,,,,,,,43.236239,76.909515,https://2gis.com/firm/70000001086769743,branch
Ani store,магазин,Игрушки; Часы / Аксессуары; Корпусная мебель; Офисная мебель,"улица Ботанический Сад, 21",6/1 кабинет,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00,+05:00,1.1,1,87476282286,,,,http://ani-store.satu.kz,,,,,,https://wa.me/77476282286,,,,,,,,43.218205,76.906776,https://2gis.com/firm/70000001067592392,branch
AnnaSteisha,магазин,Нижнее бельё; Носки / Колготки; Товары для беременных / Товары для кормящих мам,"проспект Гагарина, 124",цокольный этаж; вход с ул. Айманова,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,32,87073019009,87007370733,,,,,,https://instagram.com/annasteisha.lingerie,,,https://wa.me/77073019009,,,,,,,,43.238061,76.897069,https://2gis.com/firm/70000001059932082,branch
Appennino ,магазин,Мужская одежда; Верхняя одежда,"улица Жолдасбекова, 9а",223 бутик; 2 этаж,050051,Самал-1 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,87088395600,,,,,,,,,,https://wa.me/77088395600,,,,,,,,43.234604,76.955702,https://2gis.com/firm/70000001088191795,branch
Apple city,мини-маркет,Супермаркеты,"улица Ергожина, 8",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-01:00; Вт: 08:00-01:00; Ср: 08:00-01:00; Чт: 08:00-01:00; Пт: 08:00-01:00; Сб: 08:00-01:00; Вс: 08:00-01:00,+05:00,1.3,42,,,,,,,,,,,,,,,,,,,43.208346,76.910618,https://2gis.com/firm/70000001047810695,branch
Apple City,мини-маркет,Супермаркеты,"улица Ходжанова, 78 блок 7",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-01:00; Вт: 08:00-01:00; Ср: 08:00-01:00; Чт: 08:00-01:00; Пт: 08:00-01:00; Сб: 08:00-01:00; Вс: 08:00-01:00,+05:00,1.9,12,,,,,,,,,,,,,,,,,,,43.206925,76.912191,https://2gis.com/firm/70000001083829533,branch
Apple City,мини-маркет,Супермаркеты,"проспект Аль-Фараби, 101",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-01:00; Вт: 08:00-01:00; Ср: 08:00-01:00; Чт: 08:00-01:00; Пт: 08:00-01:00; Сб: 08:00-01:00; Вс: 08:00-01:00,+05:00,1.3,19,87013597239,,,,,,,,,,https://wa.me/77013597239,,,,,,,,43.208146,76.912925,https://2gis.com/firm/70000001067395552,branch
